id_pedido,id_producto,nombre_producto,categoria,id_proveedor,nombre_proveedor,cantidad_solicitada,estado_pedido,fecha_pedido,fecha_entrega,numero_factura
1,9,"Amoxicilina 500mg x21","Antibiótico",5,"Genfar S.A - Grupo Sanofi",67,en proceso,"2023-12-28 01:37:31","2024-01-09 01:37:31",""
2,3,"Naproxeno 500mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",77,entregado,"2025-06-18 19:36:20","2025-06-27 19:36:20","FAC-000002"
3,23,"Hierro + Ácido Fólico x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",47,entregado,"2024-06-10 02:52:02","2024-06-14 02:52:02","FAC-000003"
4,6,"Meloxicam 15mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",32,en proceso,"2025-05-31 08:42:37","2025-06-10 08:42:37",""
5,11,"Ciprofloxacino 500mg x10","Antibiótico",5,"Genfar S.A - Grupo Sanofi",66,en proceso,"2023-03-13 07:16:22","2023-03-19 07:16:22",""
6,44,"Lubricante Nuei Delay 100ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",31,entregado,"2024-05-10 13:43:47","2024-05-20 13:43:47","FAC-000006"
7,22,"Zinc 50mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",12,en proceso,"2023-12-13 10:40:18","2023-12-29 10:40:18",""
8,47,"Lubricante Prudence Aqua 60ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",96,entregado,"2025-10-02 18:23:50","2025-10-11 18:23:50","FAC-000008"
9,21,"Calcio + Vitamina D x60","Vitaminas y suplementos",6,"Tecnoquímicas S.A",79,entregado,"2023-05-15 17:18:52","2023-05-30 17:18:52","FAC-000009"
10,17,"Vitamina C 1000mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",96,en proceso,"2023-08-24 03:48:13","2023-08-30 03:48:13",""
11,19,"Complejo B x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",37,entregado,"2024-07-23 18:22:42","2024-07-26 18:22:42","FAC-000011"
12,44,"Lubricante Nuei Delay 100ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",49,entregado,"2023-12-07 18:59:07","2023-12-18 18:59:07","FAC-000012"
13,25,"Protector solar SPF 50 50ml","Cuidado personal",7,"Bayer S.A Colombia",92,en proceso,"2023-04-04 10:45:47","2023-04-19 10:45:47",""
14,2,"Ibuprofeno 400mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",56,en proceso,"2025-06-17 11:12:21","2025-06-29 11:12:21",""
15,12,"Metronidazol 500mg x14","Antibiótico",5,"Genfar S.A - Grupo Sanofi",74,en proceso,"2024-09-14 16:49:03","2024-09-29 16:49:03",""
16,12,"Metronidazol 500mg x14","Antibiótico",5,"Genfar S.A - Grupo Sanofi",60,entregado,"2025-09-26 22:00:02","2025-10-11 22:00:02","FAC-000016"
17,22,"Zinc 50mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",66,entregado,"2024-08-07 12:22:18","2024-08-21 12:22:18","FAC-000017"
18,46,"Lubricante Vive Sensitivo 50ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",26,aceptado,"2025-12-16 10:37:18","",""
19,44,"Lubricante Nuei Delay 100ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",28,entregado,"2025-06-03 02:54:51","2025-06-16 02:54:51","FAC-000019"
20,7,"Tramadol 50mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",59,aceptado,"2025-06-23 02:26:40","",""
21,2,"Ibuprofeno 400mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",87,entregado,"2023-05-26 14:37:22","2023-05-31 14:37:22","FAC-000021"
22,24,"Magnesio 400mg x60","Vitaminas y suplementos",6,"Tecnoquímicas S.A",73,entregado,"2024-08-03 11:51:53","2024-08-18 11:51:53","FAC-000022"
23,31,"Desodorante roll-on 50ml","Cuidado personal",7,"Bayer S.A Colombia",16,entregado,"2025-07-09 06:09:45","2025-07-18 06:09:45","FAC-000023"
24,18,"Vitamina D3 2000UI x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",58,entregado,"2024-07-13 20:25:28","2024-07-27 20:25:28","FAC-000024"
25,37,"Condón Control Retard x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",79,aceptado,"2025-09-27 19:40:25","",""
26,40,"Condón Protex x12","Condones",8,"Distribuidora Íntima de Colombia S.A.S",18,aceptado,"2024-01-21 04:05:22","",""
27,39,"Condón Vive Placer Real x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",94,en proceso,"2024-05-09 01:31:12","2024-05-15 01:31:12",""
28,37,"Condón Control Retard x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",61,entregado,"2025-05-13 02:15:56","2025-05-24 02:15:56","FAC-000028"
29,24,"Magnesio 400mg x60","Vitaminas y suplementos",6,"Tecnoquímicas S.A",43,aceptado,"2025-06-06 15:50:23","",""
30,31,"Desodorante roll-on 50ml","Cuidado personal",7,"Bayer S.A Colombia",13,entregado,"2025-10-10 05:50:40","2025-10-17 05:50:40","FAC-000030"
31,15,"Cefalexina 500mg x20","Antibiótico",5,"Genfar S.A - Grupo Sanofi",38,entregado,"2023-08-27 06:15:36","2023-09-09 06:15:36","FAC-000031"
32,40,"Condón Protex x12","Condones",8,"Distribuidora Íntima de Colombia S.A.S",75,entregado,"2024-02-02 17:34:30","2024-02-17 17:34:30","FAC-000032"
33,16,"Doxiciclina 100mg x10","Antibiótico",5,"Genfar S.A - Grupo Sanofi",76,aceptado,"2025-05-25 21:31:00","",""
34,22,"Zinc 50mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",65,entregado,"2023-10-21 20:17:28","2023-11-03 20:17:28","FAC-000034"
35,47,"Lubricante Prudence Aqua 60ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",78,entregado,"2024-03-06 23:09:11","2024-03-12 23:09:11","FAC-000035"
36,1,"Acetaminofén 500mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",76,en proceso,"2025-08-27 23:04:27","2025-09-05 23:04:27",""
37,20,"Omega 3 1000mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",23,entregado,"2024-07-27 20:09:25","2024-08-08 20:09:25","FAC-000037"
38,29,"Hilo dental 50m","Cuidado personal",7,"Bayer S.A Colombia",34,entregado,"2025-02-15 11:01:10","2025-02-26 11:01:10","FAC-000038"
39,19,"Complejo B x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",16,entregado,"2024-04-09 04:52:52","2024-04-16 04:52:52","FAC-000039"
40,1,"Acetaminofén 500mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",64,entregado,"2025-07-31 18:09:30","2025-08-14 18:09:30","FAC-000040"
41,7,"Tramadol 50mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",43,aceptado,"2024-04-26 07:15:48","",""
42,41,"Lubricante Durex Play 50ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",93,entregado,"2023-08-24 23:44:54","2023-09-08 23:44:54","FAC-000042"
43,44,"Lubricante Nuei Delay 100ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",42,en proceso,"2024-05-30 17:17:55","2024-06-10 17:17:55",""
44,7,"Tramadol 50mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",82,entregado,"2023-11-14 01:22:21","2023-11-20 01:22:21","FAC-000044"
45,37,"Condón Control Retard x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",19,en proceso,"2024-09-08 17:04:06","2024-09-23 17:04:06",""
