compra_id,usuario_id,usuario_rol,usuario_nombre,producto_id,producto_nombre,categoria,precio,stock_actual,stock_minimo,proveedor_id,proveedor_nombre,cantidad_solicitada,estado_pedido,monto_pago,estado_pago,metodo_pago,numero_factura,logs_usuario,fecha_referencia
1,1,cliente,cliente1,33,Condon Durex Natural x3,Condones,12000.0,50,25,5,Distribuidora Intima de Colombia S.A.S,40,entregado,15000.0,aprobado,efectivo,FAC-1779080090621-1-1,0,2026-05-18T04:54:50.000Z
2,1,cliente,cliente1,19,Complejo B x30,Vitaminas y suplementos,16500.0,50,25,3,Tecnoquimicas S.A,40,entregado,5000.0,aprobado,tarjeta,FAC-1779082713008-1-2,0,2026-05-18T05:38:33.000Z
3,1,cliente,cliente1,,,,0.0,0,0,,,0,,4800.0,aprobado,efectivo,FAC-1779130957405-1-3,0,2026-05-18T19:02:37.000Z
4,1,cliente,cliente1,,,,0.0,0,0,,,0,,19200.0,aprobado,efectivo,FAC-1779130980385-1-4,0,2026-05-18T19:03:00.000Z
5,1,cliente,cliente1,,,,0.0,0,0,,,0,,12800.0,aprobado,efectivo,FAC-1779131223530-1-5,0,2026-05-18T19:07:03.000Z
6,3,cliente,cliente2,,,,0.0,0,0,,,0,,240000.0,aprobado,efectivo,FAC-1779133583662-3-6,0,2026-05-18T19:46:23.000Z
7,3,cliente,cliente2,,,,0.0,0,0,,,0,,1080000.0,aprobado,efectivo,FAC-1779133699283-3-7,0,2026-05-18T19:48:19.000Z
8,1,cliente,cliente1,,,,0.0,0,0,,,0,,1485000.0,aprobado,efectivo,FAC-1779135608834-1-8,0,2026-05-18T20:20:08.000Z
9,1,cliente,cliente1,,,,0.0,0,0,,,0,,4800.0,aprobado,tarjeta,FAC-1779135617464-1-9,0,2026-05-18T20:20:17.000Z
10,1,cliente,cliente1,,,,0.0,0,0,,,0,,3200.0,aprobado,transferencia,FAC-1779135621989-1-10,0,2026-05-18T20:20:21.000Z
11,1,cliente,cliente1,,,,0.0,0,0,,,0,,3200.0,aprobado,nequi,FAC-1779135626975-1-11,0,2026-05-18T20:20:26.000Z
12,1,cliente,cliente1,,,,0.0,0,0,,,0,,3200.0,aprobado,daviplata,FAC-1779135631288-1-12,0,2026-05-18T20:20:31.000Z
